node_id,module,species,layer_name,Plot,type
1,5,A3 CETE,CETE,3,plant
2,6,B5 CETE,CETE,3,plant
3,2,A1 CHFU,CHFU,3,plant
4,2,A4 CHFU,CHFU,3,plant
5,2,B3 CHFU,CHFU,3,plant
6,3,B6 CHFU,CHFU,3,plant
7,2,C1 CHFU,CHFU,3,plant
8,2,C3 CHFU,CHFU,3,plant
9,4,C6 CHFU,CHFU,3,plant
10,10,D1 CHFU,CHFU,3,plant
11,2,D2 CHFU,CHFU,3,plant
12,2,D4 CHFU,CHFU,3,plant
13,2,E4 CHFU,CHFU,3,plant
14,2,F2 CHFU,CHFU,3,plant
15,2,F4 CHFU,CHFU,3,plant
16,2,F6 CHFU,CHFU,3,plant
17,12,A4 CHMI,CHMI,3,plant
18,8,C1 CHMI,CHMI,3,plant
19,12,C2 CHMI,CHMI,3,plant
20,8,F6 CHMI,CHMI,3,plant
21,1,A1 LEMA,LEMA,3,plant
22,1,A2 LEMA,LEMA,3,plant
23,1,A3 LEMA,LEMA,3,plant
24,6,A4 LEMA,LEMA,3,plant
25,10,A5 LEMA,LEMA,3,plant
26,1,A6 LEMA,LEMA,3,plant
27,1,B1 LEMA,LEMA,3,plant
28,1,B2 LEMA,LEMA,3,plant
29,1,B3 LEMA,LEMA,3,plant
30,1,B4 LEMA,LEMA,3,plant
31,1,B5 LEMA,LEMA,3,plant
32,1,B6 LEMA,LEMA,3,plant
33,1,C1 LEMA,LEMA,3,plant
34,7,C2 LEMA,LEMA,3,plant
35,1,C3 LEMA,LEMA,3,plant
36,14,C4 LEMA,LEMA,3,plant
37,1,C5 LEMA,LEMA,3,plant
38,1,D2 LEMA,LEMA,3,plant
39,1,D3 LEMA,LEMA,3,plant
40,13,D5 LEMA,LEMA,3,plant
41,1,D6 LEMA,LEMA,3,plant
42,1,E1 LEMA,LEMA,3,plant
43,1,E2 LEMA,LEMA,3,plant
44,7,E3 LEMA,LEMA,3,plant
45,1,E4 LEMA,LEMA,3,plant
46,1,E5 LEMA,LEMA,3,plant
47,15,E6 LEMA,LEMA,3,plant
48,1,F1 LEMA,LEMA,3,plant
49,1,F2 LEMA,LEMA,3,plant
50,1,F3 LEMA,LEMA,3,plant
51,15,F4 LEMA,LEMA,3,plant
52,7,F5 LEMA,LEMA,3,plant
53,7,F6 LEMA,LEMA,3,plant
54,9,A3 PUPA,PUPA,3,plant
55,6,A4 PUPA,PUPA,3,plant
56,11,B1 PUPA,PUPA,3,plant
57,9,B4 PUPA,PUPA,3,plant
58,9,B5 PUPA,PUPA,3,plant
59,9,C3 PUPA,PUPA,3,plant
60,9,D4 PUPA,PUPA,3,plant
61,9,D5 PUPA,PUPA,3,plant
62,11,E1 PUPA,PUPA,3,plant
63,11,E2 PUPA,PUPA,3,plant
64,9,F1 PUPA,PUPA,3,plant
65,9,F4 PUPA,PUPA,3,plant
66,7,F6 PUPA,PUPA,3,plant
67,5,Lasioglossum_malachurum,CETE,3,pollinator
68,6,Andrena_sp,CETE,3,pollinator
69,2,Ulidiidae,CHFU,3,pollinator
70,3,Brassicogethes_sp,CHFU,3,pollinator
71,2,Curculionidae,CHFU,3,pollinator
72,4,Psilothrix_viridicoerulea,CHFU,3,pollinator
73,10,Sarcophaga_sp,CHFU,3,pollinator
74,2,Dilophus_sp,CHFU,3,pollinator
75,2,Musca_sp,CHFU,3,pollinator
76,12,Musca_sp,CHMI,3,pollinator
77,8,Calliphoridae,CHMI,3,pollinator
78,8,Nemotelus_sp,CHMI,3,pollinator
79,1,Brassicogethes_sp,LEMA,3,pollinator
80,1,Psilothrix_viridicoerulea,LEMA,3,pollinator
81,6,Andrena_sp,LEMA,3,pollinator
82,10,Sarcophaga_sp,LEMA,3,pollinator
83,1,Lasioglossum_malachurum,LEMA,3,pollinator
84,1,Malachius_bipustulatus,LEMA,3,pollinator
85,7,Anastoechus_sp,LEMA,3,pollinator
86,7,Cassida_sp,LEMA,3,pollinator
87,14,Cerambycidae,LEMA,3,pollinator
88,14,Elateridae,LEMA,3,pollinator
89,13,Bombilus_major,LEMA,3,pollinator
90,1,Geometridae,LEMA,3,pollinator
91,15,Sphaerophoria_scripta,LEMA,3,pollinator
92,9,Lasioglossum_malachurum,PUPA,3,pollinator
93,6,Andrena_sp,PUPA,3,pollinator
94,11,Bombilus_major,PUPA,3,pollinator
95,11,Pieris_brassicae,PUPA,3,pollinator
96,7,Anastoechus_sp,PUPA,3,pollinator
